2024-03-26,Mouse,664.42,Hyderabad,CUST00671,3
2024-10-07,Webcam,808.53,Mumbai,CUST00631,2
2024-02-04,Laptop,2968.83,Mumbai,CUST00088,4
2024-08-16,Headphones,2403.76,Bangalore,CUST00390,2
2024-04-23,Mouse,3988.36,Mumbai,CUST00518,3
2024-01-28,Headphones,3679.24,Ahmedabad,CUST00849,1
2024-11-04,Laptop,222.49,Delhi,CUST00888,2
2024-12-21,Printer,3193.44,Ahmedabad,CUST00343,1
2024-12-20,Keyboard,598.5,Chennai,CUST00591,5
2024-01-12,Scanner,503.03,Hyderabad,CUST00895,2
2024-02-03,Keyboard,3629.19,Ahmedabad,CUST00531,1
2024-05-05,Monitor,3739.07,Kolkata,CUST00634,1
2024-05-05,Monitor,3889.34,Delhi,CUST00668,5
2024-05-02,Webcam,1712.71,Bangalore,CUST00617,3
2024-05-15,Scanner,1740.92,Kolkata,CUST00027,1
2024-07-12,Monitor,912.03,Hyderabad,CUST00179,4
2024-09-20,Printer,2044.53,Delhi,CUST00716,1
2024-05-04,Mouse,1636.37,Delhi,CUST00791,3
2024-04-27,Laptop,614.06,Bangalore,CUST00189,2
2024-07-22,Keyboard,182.42,Delhi,CUST00167,4
2024-04-24,Monitor,2867.36,Kolkata,CUST00219,2
2024-01-14,Headphones,3979.07,Chennai,CUST00856,5
2024-10-18,Printer,2438.53,Ahmedabad,CUST00929,2
2024-11-07,Headphones,1896.11,Hyderabad,CUST00188,1
2024-08-08,Headphones,1240.56,Kolkata,CUST00542,3
2024-06-08,Scanner,459.77,Ahmedabad,CUST00785,5
2024-10-17,Laptop,3576.13,Ahmedabad,CUST00581,3
2024-04-13,Monitor,2561.68,Ahmedabad,CUST00017,5
2024-03-15,Webcam,4791.03,Delhi,CUST00987,1
2024-10-11,Printer,2471.42,Mumbai,CUST00213,3
2024-07-17,Laptop,1090.44,Bangalore,CUST00547,1
2024-11-14,Headphones,1096.31,Hyderabad,CUST00994,2
2024-06-04,Scanner,3189.7,Mumbai,CUST00867,5
2024-06-27,Laptop,2716.88,Bangalore,CUST00398,5
2024-06-19,Laptop,1473.65,Hyderabad,CUST00783,2
2024-07-06,Laptop,4120.77,Ahmedabad,CUST00844,1
2024-01-18,Webcam,442.35,Ahmedabad,CUST00228,2
2024-12-15,Webcam,796.01,Mumbai,CUST00785,1
2024-03-23,Keyboard,1279.28,Bangalore,CUST00643,1
2024-07-06,Headphones,4819.78,Delhi,CUST00104,2
2024-11-01,Headphones,3993.73,Bangalore,CUST00449,5
2024-12-17,Webcam,3332.59,Ahmedabad,CUST00300,5
2024-10-29,Headphones,1596.83,Bangalore,CUST00245,5
2024-03-03,Headphones,3187.24,Mumbai,CUST00249,2
2024-11-24,Printer,466.69,Bangalore,CUST00655,4
2024-05-17,Keyboard,4933.5,Pune,CUST00116,2
2024-05-09,Scanner,4029.53,Hyderabad,CUST00141,2
2024-12-10,Monitor,1559.99,Pune,CUST00586,1
2024-04-06,Printer,1448.67,Delhi,CUST00185,4
2024-11-20,Laptop,2154.78,Hyderabad,CUST00604,5
2024-03-26,Keyboard,1142.08,Chennai,CUST00982,5
2024-05-23,Printer,2077.56,Kolkata,CUST00553,4
2024-06-14,Keyboard,3791.67,Kolkata,CUST00331,4
2024-06-15,Webcam,2786.43,Hyderabad,CUST00735,2
2024-05-07,Printer,891.49,Mumbai,CUST00570,4
2024-02-19,Keyboard,3216.31,Delhi,CUST00620,2
2024-01-21,Scanner,1692.76,Chennai,CUST00461,1
2024-09-27,Laptop,2542.28,Bangalore,CUST00080,3
2024-06-04,Headphones,481.55,Kolkata,CUST00925,3
2024-07-14,Laptop,4073.27,Ahmedabad,CUST00570,3
2024-11-27,Scanner,4201.87,Ahmedabad,CUST00704,4
2024-07-09,Printer,1304.33,Delhi,CUST00822,1
2024-05-29,Mouse,2469.08,Pune,CUST00158,2
2024-10-19,Keyboard,2043.09,Hyderabad,CUST00222,4
2024-10-13,Printer,4531.84,Mumbai,CUST00224,1
2024-12-16,Webcam,746.42,Kolkata,CUST00472,4
2024-06-10,Webcam,2288.03,Pune,CUST00470,3
2024-12-24,Monitor,2840.57,Hyderabad,CUST00133,2
2024-05-02,Headphones,2739.21,Bangalore,CUST00357,5
2024-05-06,Monitor,4626.28,Bangalore,CUST00589,4
2024-09-14,Monitor,3705.82,Chennai,CUST00294,5
2024-07-20,Keyboard,607.91,Delhi,CUST00298,4
2024-01-20,Scanner,3517.52,Hyderabad,CUST00194,3
2024-03-08,Monitor,4153.99,Chennai,CUST00686,1
2024-09-04,Scanner,4835.98,Delhi,CUST00490,4
2024-05-09,Scanner,3424.83,Kolkata,CUST00178,2
2024-02-01,Monitor,2068.59,Mumbai,CUST00842,4
2024-07-10,Printer,3993.65,Ahmedabad,CUST00684,4
2024-07-27,Printer,2824.02,Pune,CUST00797,1
2024-02-18,Laptop,832.93,Chennai,CUST00095,4
2024-04-06,Mouse,2469.34,Ahmedabad,CUST00856,5
2024-07-20,Headphones,4684.1,Ahmedabad,CUST00933,2
2024-10-23,Laptop,2468.71,Ahmedabad,CUST00775,2
2024-06-21,Keyboard,325.68,Delhi,CUST00103,4
2024-05-09,Webcam,4635.83,Mumbai,CUST00623,1
2024-05-07,Keyboard,3673.56,Bangalore,CUST00571,1
2024-01-24,Laptop,4139.2,Hyderabad,CUST00739,4
2024-06-03,Headphones,1299.81,Hyderabad,CUST00217,1
2024-01-09,Keyboard,3110.54,Delhi,CUST00120,4
2024-02-03,Keyboard,2710.52,Delhi,CUST00136,2
2024-11-19,Headphones,4270.46,Bangalore,CUST00839,2
2024-05-25,Mouse,4001.89,Mumbai,CUST00489,4
2024-12-25,Webcam,748.79,Ahmedabad,CUST00501,1
2024-10-05,Scanner,1864.44,Kolkata,CUST00553,2
2024-01-15,Laptop,2895.16,Ahmedabad,CUST00248,1
2024-07-07,Webcam,112.53,Mumbai,CUST00519,1
2024-03-31,Printer,2850.0,Hyderabad,CUST00943,3
2024-09-24,Webcam,283.25,Pune,CUST00414,3
2024-03-25,Webcam,332.57,Bangalore,CUST00500,3
2024-10-05,Mouse,4624.25,Kolkata,CUST00097,5
2024-11-22,Printer,4920.21,Mumbai,CUST00918,5
2024-01-18,Webcam,3162.12,Bangalore,CUST00575,4
2024-11-12,Laptop,1897.25,Kolkata,CUST00819,4
2024-03-08,Printer,360.1,Hyderabad,CUST00373,2
2024-04-22,Laptop,1710.17,Mumbai,CUST00509,3
2024-09-16,Headphones,3284.06,Ahmedabad,CUST00636,1
2024-02-12,Webcam,4706.95,Hyderabad,CUST00468,2
2024-05-18,Monitor,3196.87,Chennai,CUST00235,3
2024-11-20,Mouse,603.93,Pune,CUST00868,3
2024-03-18,Scanner,2686.71,Hyderabad,CUST00056,4
2024-06-18,Headphones,1867.24,Ahmedabad,CUST00678,1
2024-12-07,Monitor,2866.46,Delhi,CUST00609,2
2024-12-03,Printer,4641.86,Hyderabad,CUST00017,3
2024-04-22,Mouse,4889.31,Kolkata,CUST00567,4
2024-02-08,Monitor,4648.06,Chennai,CUST00717,1
2024-10-20,Headphones,1469.48,Ahmedabad,CUST00454,1
2024-03-07,Laptop,964.23,Bangalore,CUST00737,1
2024-07-06,Headphones,2313.97,Kolkata,CUST00315,4
2024-08-03,Keyboard,2217.64,Delhi,CUST00296,2
2024-02-29,Printer,2710.12,Mumbai,CUST00846,1
